x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-3.507812,-0.998206,-1.000000,-0.938477,0.001794,0.059730
-3.503906,-0.998192,-1.000000,-0.937988,0.001808,0.060204
-3.500000,-0.998178,-1.000000,-0.937500,0.001822,0.060678
-3.496094,-0.998164,-1.000000,-0.937012,0.001836,0.061152
-3.492188,-0.998149,-1.000000,-0.936523,0.001851,0.061626
-3.488281,-0.998135,-1.000000,-0.936035,0.001865,0.062100
-3.484375,-0.998120,-1.000000,-0.935547,0.001880,0.062573
-3.480469,-0.998105,-1.000000,-0.935059,0.001895,0.063047
-3.476562,-0.998091,-1.000000,-0.934570,0.001909,0.063520
-3.472656,-0.998076,-1.000000,-0.934082,0.001924,0.063994
-3.468750,-0.998060,-1.000000,-0.933594,0.001940,0.064467
-3.464844,-0.998045,-1.000000,-0.933105,0.001955,0.064940
-3.460938,-0.998030,-1.000000,-0.932617,0.001970,0.065413
-3.457031,-0.998015,-1.000000,-0.932129,0.001985,0.065886
-3.453125,-0.997999,-1.000000,-0.931641,0.002001,0.066358
-3.449219,-0.997983,-1.000000,-0.931152,0.002017,0.066831
-3.445312,-0.997968,-1.000000,-0.930664,0.002032,0.067303
-3.441406,-0.997952,-1.000000,-0.930176,0.002048,0.067776
-3.437500,-0.997936,-1.000000,-0.929688,0.002064,0.068248
-3.433594,-0.997919,-1.000000,-0.929199,0.002081,0.068720
-3.429688,-0.997903,-1.000000,-0.928711,0.002097,0.069192
-3.425781,-0.997887,-1.000000,-0.928223,0.002113,0.069664
-3.421875,-0.997870,-1.000000,-0.927734,0.002130,0.070136
-3.417969,-0.997853,-1.000000,-0.927246,0.002147,0.070607
-3.414062,-0.997837,-1.000000,-0.926758,0.002163,0.071079
-3.410156,-0.997820,-1.000000,-0.926270,0.002180,0.071550
-3.406250,-0.997803,-1.000000,-0.925781,0.002197,0.072021
-3.402344,-0.997785,-1.000000,-0.925293,0.002215,0.072492
-3.398438,-0.997768,-1.000000,-0.924805,0.002232,0.072963
-3.394531,-0.997750,-1.000000,-0.924316,0.002250,0.073434
-3.390625,-0.997733,-1.000000,-0.923828,0.002267,0.073905
-3.386719,-0.997715,-1.000000,-0.923340,0.002285,0.074375
-3.382812,-0.997697,-1.000000,-0.922852,0.002303,0.074846
-3.378906,-0.997679,-1.000000,-0.922363,0.002321,0.075316
-3.375000,-0.997661,-1.000000,-0.921875,0.002339,0.075786
-3.371094,-0.997643,-1.000000,-0.921387,0.002357,0.076256
-3.367188,-0.997624,-1.000000,-0.920898,0.002376,0.076726
-3.363281,-0.997606,-1.000000,-0.920410,0.002394,0.077195
-3.359375,-0.997587,-1.000000,-0.919922,0.002413,0.077665
-3.355469,-0.997568,-1.000000,-0.919434,0.002432,0.078134
-3.351562,-0.997549,-1.000000,-0.918945,0.002451,0.078604
-3.347656,-0.997530,-1.000000,-0.918457,0.002470,0.079073
-3.343750,-0.997510,-1.000000,-0.917969,0.002490,0.079542
-3.339844,-0.997491,-1.000000,-0.917480,0.002509,0.080010
-3.335938,-0.997471,-1.000000,-0.916992,0.002529,0.080479
-3.332031,-0.997451,-1.000000,-0.916504,0.002549,0.080947
-3.328125,-0.997431,-1.000000,-0.916016,0.002569,0.081416
